Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG,PM2.5
2013-01-01 00:00:00,8.9,15,5,-,93,0,0.5,4.8,11.1,-,,,,o,284.79583333333335
2013-01-02 00:00:00,9.2,-,4,-,97,0,0.5,9.4,16.5,-,,,,o,239.69545454545457
2013-01-03 00:00:00,6.6,10,3,-,99,0,0.6,8.1,13,-,,,,o,182.1875
2013-01-04 00:00:00,,,,,,,,,,,,,,o,197.63571428571427
2013-01-05 00:00:00,,,,,,,,,,,,,,o,
2013-01-06 00:00:00,,,,,,,,,,,,,,o,297.1
2013-01-07 00:00:00,9.1,-,2,-,70,0,0.8,9.8,14.8,-,,,,o,264.06428571428575
2013-01-08 00:00:00,7.8,14,3,-,79,0,1.6,11.7,18.3,-,,,,o,223.20833333333334
2013-01-09 00:00:00,13.4,29,7,-,55,0,2.4,11.9,22.2,-,,,,,200.64583333333337
2013-01-10 00:00:00,,,,,,,,,,,,,,,154.875
2013-01-11 00:00:00,,,,,,,,,,,,,,,129.38749999999996
2013-01-12 00:00:00,,,,,,,,,,,,,,,224.2458333333333
2013-01-13 00:00:00,15.2,21,10,-,88,0,0.6,8.9,18.3,-,,,,o,285.22499999999997
2013-01-14 00:00:00,13.7,28,6,-,89,0,0.3,5.2,13,-,,,,o,334.3411764705882
2013-01-15 00:00:00,14.1,21,6,-,83,0,1,4.8,14.8,-,,,,o,276.90833333333336
2013-01-16 00:00:00,,,,,,,,,,,,,,,267.9818181818182
2013-01-17 00:00:00,,,,,,,,,,,o,,,,218.67083333333326
2013-01-18 00:00:00,,,,,,,,,,,o,,o,,47.82500000000001
2013-01-19 00:00:00,11.8,18,7,-,81,0,2.1,8.9,22.2,-,,,,o,108.0
2013-01-20 00:00:00,10.6,17,6,-,86,0,1.8,11.1,20.6,-,,,,o,107.625
2013-01-21 00:00:00,11.1,19,5,-,77,0,1.9,8.1,16.5,-,,,,,125.89166666666667
2013-01-22 00:00:00,,,,,,,,,,,,,,o,179.3083333333333
2013-01-23 00:00:00,,,,,,,,,,,,,,o,239.85
2013-01-24 00:00:00,,,,,,,,,,,,,,o,220.1916666666667
2013-01-25 00:00:00,13.2,20,6,-,65,0,2.3,8.9,20.6,-,,,,o,181.01250000000005
2013-01-26 00:00:00,13.6,20,6,-,71,0,2.6,8.1,20.6,-,,,,,152.55416666666667
2013-01-27 00:00:00,13.6,21,7,-,68,0,2.3,7,20.6,-,,,,,152.32083333333335
2013-01-28 00:00:00,,,,,,,,,,,,,,o,171.42916666666665
2013-01-29 00:00:00,,,,,,,,,,,,,,o,251.375
2013-01-30 00:00:00,,,,,,,,,,,,,,o,251.82916666666668
2013-01-31 00:00:00,14.7,21,10,-,81,0,0.8,3.9,13,-,,,,o,319.7375
2013-02-01 00:00:00,18.5,28,8,-,67,0,0.6,4.4,11.1,-,,,,o,332.7083333333333
2013-02-02 00:00:00,20.3,28,14,-,65,0,1.1,4.4,11.1,-,,,,o,279.59999999999997
2013-02-03 00:00:00,20.3,28,10,-,58,0,1.8,6.7,16.5,-,,,,o,179.11666666666667
2013-02-04 00:00:00,,,,,,,,,,,o,,o,,166.29999999999998
2013-02-05 00:00:00,,,,,,,,,,,o,,o,,78.25416666666666
2013-02-06 00:00:00,,,,,,,,,,,o,,,,54.958333333333336
2013-02-07 00:00:00,13.9,19,9,-,77,0,3.2,11.3,22.2,-,,,,,54.791666666666664
2013-02-08 00:00:00,13.9,20,8,-,82,0,2.7,12.8,22.2,-,,,,,93.375
2013-02-09 00:00:00,14.8,21,8,-,73,0,2.6,7.4,16.5,-,,,,o,103.0
2013-02-10 00:00:00,,,,,,,,,,,,,,o,211.125
2013-02-11 00:00:00,,,,,,,,,,,,,,o,192.29166666666666
2013-02-12 00:00:00,,,,,,,,,,,,,,o,152.0
2013-02-13 00:00:00,16.6,24,10,-,70,0,2.3,10.2,14.8,-,,,,,132.20833333333334
2013-02-14 00:00:00,21.6,28,11,-,50,0,2.3,5.6,33.5,-,,,,,127.70833333333333
2013-02-15 00:00:00,18.5,28,14,-,76,-,2.6,13.1,24.1,33.5,o,,o,,145.77777777777777
2013-02-16 00:00:00,,,,,,,,,,,o,,o,,
2013-02-17 00:00:00,,,,,,,,,,,o,,,o,
2013-02-18 00:00:00,,,,,,,,,,,,,,o,
2013-02-19 00:00:00,17.8,28,12,-,80,0,1.8,7,16.5,-,,,,o,90.33333333333333
2013-02-20 00:00:00,16.1,22,10,-,88,0,1.1,7,18.3,-,,,,o,135.83333333333334
2013-02-21 00:00:00,19.4,26,12,-,73,-,1.8,8.9,16.5,-,o,,,o,122.5
2013-02-22 00:00:00,,,,,,,,,,,,,o,,119.33333333333333
2013-02-23 00:00:00,,,,,,,,,,,o,,o,,67.125
2013-02-24 00:00:00,,,,,,,,,,,,,,,46.708333333333336
2013-02-25 00:00:00,17.2,23,12,-,82,0,2.7,6.3,16.5,-,,,,,69.66666666666667
2013-02-26 00:00:00,19.8,25,12,-,65,0,3.2,9.6,16.5,-,,,,,79.83333333333333
2013-02-27 00:00:00,21.1,26,16,-,61,0,3.7,7.6,13,-,,,,,83.61111111111111
2013-02-28 00:00:00,,,,,,,,,,,,,,,81.04166666666667
2013-03-01 00:00:00,16.6,23,10,-,65,0,3.9,16.9,27.8,37,,,,,36.357142857142854
2013-03-02 00:00:00,18.6,25,11,-,63,0,4,15.9,27.8,-,,,,,2.5555555555555554
2013-03-03 00:00:00,20.1,27,12,-,68,0,2.6,9.3,22.2,-,,,,,2.0952380952380953
2013-03-04 00:00:00,,,,,,,,,,,,,,,2.263157894736842
2013-03-05 00:00:00,,,,,,,,,,,,,,o,42.166666666666664
2013-03-06 00:00:00,,,,,,,,,,,,,,o,112.08333333333333
2013-03-07 00:00:00,22.9,30,15,-,60,0,2.7,7.4,20.6,33.5,,,,,105.83333333333333
2013-03-08 00:00:00,23.2,31,16,-,50,0,2.6,5.2,13,-,,,,,117.58333333333333
2013-03-09 00:00:00,25.5,32,16,-,38,0,3.4,8.5,14.8,-,,,,,122.70833333333333
2013-03-10 00:00:00,,,,,,,,,,,,,,,76.54166666666667
2013-03-11 00:00:00,,,,,,,,,,,,,,o,159.08333333333334
2013-03-12 00:00:00,,,,,,,,,,,,,,o,147.95833333333334
2013-03-13 00:00:00,24.7,32,17,-,51,0,2.4,8.1,16.5,-,,,,,111.95833333333333
2013-03-14 00:00:00,21.8,28,15,-,57,0,4.3,12,20.6,-,,,,,59.208333333333336
2013-03-15 00:00:00,22.9,28,14,-,50,0,3.4,10.2,20.6,-,,,,,80.56521739130434
2013-03-16 00:00:00,,,,,,,,,,,,,,,87.83333333333333
2013-03-17 00:00:00,,,,,,,,,,,,,,,90.04166666666667
2013-03-18 00:00:00,,,,,,,,,,,,,,,73.04761904761905
2013-03-19 00:00:00,24.3,31,16,-,66,0,2.4,10.7,25.9,37,,,,o,98.70833333333333
2013-03-20 00:00:00,26.3,34,18,-,47,0,2.9,7.6,16.5,-,,,o,o,123.70833333333333
2013-03-21 00:00:00,25.3,32,18,-,53,0,2.6,12.8,24.1,37,,,,,64.79166666666667
2013-03-22 00:00:00,,,,,,,,,,,,,,,62.875
2013-03-23 00:00:00,,,,,,,,,,,,,,,92.21739130434783
2013-03-24 00:00:00,,,,,,,,,,,,,,,77.66666666666667
2013-03-25 00:00:00,22.2,28,17,-,59,0,3.4,17.2,22.2,-,,,,,52.333333333333336
2013-03-26 00:00:00,22.3,28,16,-,58,0,3.1,13.3,22.2,-,,,,,52.041666666666664
2013-03-27 00:00:00,23.4,29,16,-,53,0,2.9,8.3,20.6,-,,,,,128.33333333333334
2013-03-28 00:00:00,,,,,,,,,,,o,,o,,87.58333333333333
2013-03-29 00:00:00,,,,,,,,,,,,,o,o,70.0
2013-03-30 00:00:00,,,,,,,,,,,,,,o,
2013-03-31 00:00:00,24.8,31,18,-,55,0,2.7,10,18.3,-,,,,,
2013-04-01 00:00:00,26.9,34,19,-,41,0,3.1,8,16.5,-,,,,,46.416666666666664
2013-04-02 00:00:00,25.7,35,19,-,47,-,2.7,10.9,27.8,46.5,o,,o,,33.09090909090909
2013-04-03 00:00:00,25.2,31,18,-,51,0,2.4,9.3,18.3,-,,,,,36.42857142857143
2013-04-04 00:00:00,,,,,,,,,,,,,,,41.2
2013-04-05 00:00:00,,,,,,,,,,,,,,,52.416666666666664
2013-04-06 00:00:00,,,,,,,,,,,,,,,89.0
2013-04-07 00:00:00,28.6,36,18,-,29,0,3.4,12.4,24.1,33.5,,,,,81.83333333333333
2013-04-08 00:00:00,30.1,37,20,-,29,0,2.3,7,18.3,-,,,,,105.33333333333333
2013-04-09 00:00:00,31.2,38,23,-,26,0,2.6,8.3,18.3,37,,,o,,117.75
2013-04-10 00:00:00,,,,,,,,,,,,,,,55.44444444444444
2013-04-11 00:00:00,,,,,,,,,,,,,,,97.1875
2013-04-12 00:00:00,,,,,,,,,,,,,,,87.375
2013-04-13 00:00:00,30.2,36,24,-,28,-,2.3,9.8,22.2,48.2,o,,o,,84.5
2013-04-14 00:00:00,27.7,35,22,-,39,0,2.9,6.3,14.8,33.5,,,,,46.916666666666664
2013-04-15 00:00:00,29.2,36,21,-,33,0,2.3,7.8,18.3,-,,,,,104.625
2013-04-16 00:00:00,,,,,,,,,,,,,,,109.625
2013-04-17 00:00:00,,,,,,,,,,,,,,,63.458333333333336
2013-04-18 00:00:00,,,,,,,,,,,,,,,77.04166666666667
2013-04-19 00:00:00,30.6,38,22,-,18,0,3.1,7.6,14.8,-,,,,,110.875
2013-04-20 00:00:00,31.1,37,24,-,23,0,2.4,11.9,27.8,37,,,,,147.28571428571428
2013-04-21 00:00:00,27.4,32,22,-,42,0,3.4,16.7,24.1,37,,,,,
2013-04-22 00:00:00,,,,,,,,,,,,,,,49.4
2013-04-23 00:00:00,,,,,,,,,,,,,,,75.58333333333333
2013-04-24 00:00:00,,,,,,,,,,,,,,,106.95833333333333
2013-04-25 00:00:00,31.8,37,27,-,33,0,2.9,7.6,20.6,38.9,,,,,120.875
2013-04-26 00:00:00,31,34,27,-,37,0,2.9,10.6,29.4,-,,,,,127.86666666666666
2013-04-27 00:00:00,32.1,38,26,-,26,0,3.5,15.7,24.1,38.9,,,,,
2013-04-28 00:00:00,,,,,,,,,,,,,,,
2013-04-29 00:00:00,,,,,,,,,,,,,,,
2013-04-30 00:00:00,,,,,,,,,,,,,,,77.0
